time (s),strain
-3.313598633,-5.831906721702155e-23
-3.313354492375,-8.541958331044348e-23
-3.31311035175,1.2433806602644656e-23
-3.312866211125,-8.218779285281027e-23
-3.3126220705,-6.915048810084039e-23
-3.312377929875,-1.6810206616743056e-23
-3.31213378925,-1.0462201646487924e-22
-3.311889648625,-9.309266113080882e-23
-3.311645508,-6.522470639971135e-23
-3.311401367375,-8.318554006866686e-23
-3.31115722675,-1.1334200230968047e-22
-3.310913086125,-7.804662877043422e-23
-3.3106689455,-8.310471573958637e-23
-3.310424804875,-4.868068959887979e-23
-3.31018066425,-1.2845771420917805e-22
-3.309936523625,-9.391911639904505e-23
-3.309692383,-2.800540698482615e-23
-3.309448242375,-2.5796204104876135e-24
-3.30920410175,-1.211913073573011e-22
-3.308959961125,-4.446509726454626e-23
-3.3087158205,-1.014186019449362e-22
-3.308471679875,-9.651242907076125e-23
-3.30822753925,-9.649726000461765e-23
-3.307983398625,-8.004765738240398e-23
-3.307739258,-2.930296951592411e-23
-3.307495117375,-3.875198785008404e-23
-3.30725097675,-6.124115762384436e-23
-3.307006836125,-7.555457512627784e-23
-3.3067626955,-6.19558704666321e-23
-3.306518554875,-6.516523629606358e-23
-3.30627441425,-3.27147218950989e-23
-3.306030273625,-8.240181683611614e-23
-3.305786133,-5.959620240805789e-23
-3.305541992375,-6.224120757697672e-23
-3.30529785175,-5.97941716253973e-23
-3.305053711125,-4.8396787333718906e-23
-3.3048095705,-4.9469249413904985e-23
-3.304565429875,-8.499831154251321e-24
-3.30432128925,-5.798845565422771e-23
-3.304077148625,1.0814809214784836e-24
-3.303833008,-6.4137828419762e-23
-3.303588867375,-6.939928821222154e-23
-3.30334472675,-4.811950336703843e-23
-3.303100586125,-3.827445004279923e-23
-3.3028564455,-4.0456775333227886e-23
-3.302612304875,-3.447279299891132e-24
-3.30236816425,-7.967651249613286e-24
-3.302124023625,-2.988138803054326e-23
-3.301879883,-5.835553540408929e-23
-3.301635742375,-4.9112244654720465e-23
-3.30139160175,5.3362446571792705e-24
-3.301147461125,-3.588174766765765e-23
-3.3009033205,-8.91060596650113e-23
-3.300659179875,-6.619186175581617e-23
-3.30041503925,-6.126911574638135e-23
-3.300170898625,8.56461997174021e-25
-3.299926758,-4.2688662428236804e-23
-3.299682617375,4.199652612939966e-23
-3.29943847675,-1.3696772293433585e-23
-3.299194336125,-3.149187386177548e-23
-3.2989501955,-5.029306741876641e-23
-3.298706054875,5.072755035474347e-25
-3.29846191425,-4.1342664437586055e-23
-3.298217773625,-6.092937500419424e-23
-3.297973633,-1.0658084942973047e-23
-3.297729492375,-2.923860910465968e-23
-3.29748535175,1.3411964085488004e-23
-3.297241211125,-3.016076853915982e-23
-3.2969970705,-1.275886853974359e-22
-3.296752929875,2.5065947363091407e-24
-3.29650878925,-9.070209553097679e-23
-3.296264648625,3.118291792645108e-23
-3.296020508,4.2273795736353707e-23
-3.295776367375,-3.611456296111213e-23
-3.29553222675,-6.108567272615263e-23
-3.295288086125,-6.818701441992236e-23
-3.2950439455,1.3178773265729241e-23
-3.294799804875,-2.3697176831137392e-23
