time (s),strain
-3.313598633,-7.601302979577412e-23
-3.313354492375,-7.094333163207651e-23
-3.31311035175,-7.180074845438658e-23
-3.312866211125,-7.288991665137305e-23
-3.3126220705,-6.847389535477866e-23
-3.312377929875,-6.877285887965405e-23
-3.31213378925,-7.539160856189913e-23
-3.311889648625,-7.400329103008002e-23
-3.311645508,-7.176542415478602e-23
-3.311401367375,-7.41614318782512e-23
-3.31115722675,-6.803757494333477e-23
-3.310913086125,-7.281288297451189e-23
-3.3106689455,-7.019896600553436e-23
-3.310424804875,-6.620876839367844e-23
-3.31018066425,-7.077824038481797e-23
-3.309936523625,-7.258590456965761e-23
-3.309692383,-7.258190509775606e-23
-3.309448242375,-6.326848929345893e-23
-3.30920410175,-7.172191031139187e-23
-3.308959961125,-7.208384108044598e-23
-3.3087158205,-6.978975831871896e-23
-3.308471679875,-6.598962180759161e-23
-3.30822753925,-6.956314128730941e-23
-3.307983398625,-6.575348193027362e-23
-3.307739258,-6.408316737441531e-23
-3.307495117375,-6.251720129242391e-23
-3.30725097675,-6.207124350725051e-23
-3.307006836125,-5.961126392422361e-23
-3.3067626955,-5.861667770595099e-23
-3.306518554875,-5.80270621426949e-23
-3.30627441425,-6.007857816429963e-23
-3.306030273625,-6.501506004931709e-23
-3.305786133,-6.162264797199439e-23
-3.305541992375,-5.656289763726614e-23
-3.30529785175,-6.211174070569826e-23
-3.305053711125,-5.310151219644575e-23
-3.3048095705,-5.312887691628717e-23
-3.304565429875,-5.605562299585331e-23
-3.30432128925,-5.67502246274249e-23
-3.304077148625,-5.278836589176193e-23
-3.303833008,-5.521193891841011e-23
-3.303588867375,-5.689142763951326e-23
-3.30334472675,-4.791916679644066e-23
-3.303100586125,-4.8589052738626645e-23
-3.3028564455,-4.746971082865908e-23
-3.302612304875,-4.5602907150145014e-23
-3.30236816425,-4.547876924708474e-23
-3.302124023625,-4.9173356490596785e-23
-3.301879883,-4.767232443623258e-23
-3.301635742375,-4.690470865046405e-23
-3.30139160175,-4.951653964968965e-23
-3.301147461125,-4.265019932927961e-23
-3.3009033205,-4.2840460202726216e-23
-3.300659179875,-4.610983167135628e-23
-3.30041503925,-3.861393771986849e-23
-3.300170898625,-3.5602133868783026e-23
-3.299926758,-3.491751962615782e-23
-3.299682617375,-3.735754314627723e-23
-3.29943847675,-3.950522944972847e-23
-3.299194336125,-3.808181140302605e-23
-3.2989501955,-3.61841554232537e-23
-3.298706054875,-3.802057676685879e-23
-3.29846191425,-3.477105466361251e-23
-3.298217773625,-3.4895522286679743e-23
-3.297973633,-3.429118422541878e-23
-3.297729492375,-2.69643771935711e-23
-3.29748535175,-2.69825009641192e-23
-3.297241211125,-2.890812300827835e-23
-3.2969970705,-2.823711184485106e-23
-3.296752929875,-2.942716777045908e-23
-3.29650878925,-2.358241682820052e-23
