t strain*1e23
-1.17527 -8.5
-1.17502 -8.4
-1.17478 -8.3
-1.17454 -8.3
-1.17429 -8.2
-1.17405 -8.0
-1.1738 -7.9
-1.17356 -7.8
-1.17332 -7.6
-1.17307 -7.5
-1.17283 -7.3
-1.17258 -7.1
-1.17234 -6.9
-1.17209 -6.7
-1.17185 -6.5
-1.17161 -6.3
-1.17136 -6.1
-1.17112 -5.8
-1.17087 -5.6
-1.17063 -5.3
-1.17039 -5.1
-1.17014 -4.8
-1.1699 -4.5
-1.16965 -4.2
-1.16941 -3.9
-1.16916 -3.6
-1.16892 -3.3
-1.16868 -3.0
-1.16843 -2.7
-1.16819 -2.4
-1.16794 -2.1
-1.1677 -1.8
-1.16746 -1.4
-1.16721 -1.1
-1.16697 -0.8
-1.16672 -0.4
-1.16648 -0.1
-1.16623 0.2
-1.16599 0.6
-1.16575 0.9
-1.1655 1.2
-1.16526 1.5
-1.16501 1.9
-1.16477 2.2
-1.16453 2.5
-1.16428 2.8
-1.16404 3.1
-1.16379 3.4
-1.16355 3.7
-1.16331 4.0
-1.16306 4.3
-1.16282 4.6
-1.16257 4.9
-1.16233 5.2
-1.16208 5.4
-1.16184 5.7
-1.1616 5.9
-1.16135 6.2
-1.16111 6.4
-1.16086 6.6
-1.16062 6.8
-1.16038 7.0
-1.16013 7.2
-1.15989 7.4
-1.15964 7.6
-1.1594 7.7
-1.15915 7.9
-1.15891 8.0
-1.15867 8.1
-1.15842 8.2
-1.15818 8.3
-1.15793 8.4
-1.15769 8.5
-1.15745 8.5
-1.1572 8.6
-1.15696 8.6
-1.15671 8.6
-1.15647 8.6
-1.15623 8.6
-1.15598 8.6
-1.15574 8.6
-1.15549 8.6
-1.15525 8.5
-1.155 8.4
-1.15476 8.3
-1.15452 8.3
-1.15427 8.1
-1.15403 8.0
-1.15378 7.9
-1.15354 7.8
-1.1533 7.6
-1.15305 7.4
-1.15281 7.3
-1.15256 7.1
-1.15232 6.9
-1.15207 6.7
-1.15183 6.5
-1.15159 6.2
-1.15134 6.0
-1.1511 5.7
-1.15085 5.5
-1.15061 5.2
-1.15037 5.0
-1.15012 4.7
-1.14988 4.4
-1.14963 4.1
-1.14939 3.8
-1.14915 3.5
-1.1489 3.2
-1.14866 2.9
-1.14841 2.6
-1.14817 2.2
-1.14792 1.9
-1.14768 1.6
-1.14744 1.3
-1.14719 0.9
-1.14695 0.6
-1.1467 0.3
-1.14646 0.0
-1.14622 -0.4
-1.14597 -0.7
-1.14573 -1.1
-1.14548 -1.4
-1.14524 -1.7
-1.14499 -2.1
-1.14475 -2.4
-1.14451 -2.7
-1.14426 -3.0
-1.14402 -3.3
-1.14377 -3.7
-1.14353 -4.0
-1.14329 -4.3
-1.14304 -4.5
-1.1428 -4.8
-1.14255 -5.1
-1.14231 -5.4
-1.14207 -5.6
-1.14182 -5.9
-1.14158 -6.1
-1.14133 -6.4
-1.14109 -6.6
-1.14084 -6.8
-1.1406 -7.0
-1.14036 -7.2
-1.14011 -7.4
-1.13987 -7.5
-1.13962 -7.7
-1.13938 -7.9
-1.13914 -8.0
-1.13889 -8.1
-1.13865 -8.2
-1.1384 -8.3
-1.13816 -8.4
-1.13791 -8.5
-1.13767 -8.6
-1.13743 -8.6
-1.13718 -8.6
-1.13694 -8.7
-1.13669 -8.7
-1.13645 -8.7
-1.13621 -8.7
-1.13596 -8.6
-1.13572 -8.6
-1.13547 -8.5
-1.13523 -8.5
-1.13498 -8.4
-1.13474 -8.3
-1.1345 -8.2
-1.13425 -8.1
-1.13401 -7.9
-1.13376 -7.8
-1.13352 -7.7
-1.13328 -7.5
-1.13303 -7.3
-1.13279 -7.1
-1.13254 -6.9
-1.1323 -6.7
-1.13206 -6.5
-1.13181 -6.3
-1.13157 -6.0
-1.13132 -5.8
-1.13108 -5.5
-1.13083 -5.3
-1.13059 -5.0
-1.13035 -4.7
-1.1301 -4.4
-1.12986 -4.1
-1.12961 -3.8
-1.12937 -3.5
-1.12913 -3.2
-1.12888 -2.9
-1.12864 -2.6
-1.12839 -2.2
-1.12815 -1.9
-1.1279 -1.6
-1.12766 -1.3
-1.12742 -0.9
-1.12717 -0.6
-1.12693 -0.2
-1.12668 0.0
-1.12644 0.4
-1.1262 0.8
-1.12595 1.1
-1.12571 1.4
-1.12546 1.8
-1.12522 2.1
-1.12498 2.4
-1.12473 2.8
-1.12449 3.1
-1.12424 3.4
-1.124 3.7
-1.12375 4.0
-1.12351 4.3
-1.12327 4.6
-1.12302 4.9
-1.12278 5.2
-1.12253 5.4
-1.12229 5.7
-1.12205 5.9
-1.1218 6.2
-1.12156 6.4
-1.12131 6.6
-1.12107 6.9
-1.12082 7.1
-1.12058 7.3
-1.12034 7.4
-1.12009 7.6
-1.11985 7.8
-1.1196 7.9
-1.11936 8.1
-1.11912 8.2
-1.11887 8.3
-1.11863 8.4
-1.11838 8.5
-1.11814 8.5
-1.1179 8.6
-1.11765 8.7
-1.11741 8.7
-1.11716 8.7
-1.11692 8.7
-1.11667 8.7
-1.11643 8.7
-1.11619 8.7
-1.11594 8.6
-1.1157 8.6
-1.11545 8.5
-1.11521 8.4
-1.11497 8.3
-1.11472 8.2
-1.11448 8.1
-1.11423 7.9
-1.11399 7.8
-1.11374 7.6
-1.1135 7.4
-1.11326 7.3
-1.11301 7.1
-1.11277 6.9
-1.11252 6.7
-1.11228 6.4
-1.11204 6.2
-1.11179 5.9
-1.11155 5.7
-1.1113 5.4
-1.11106 5.2
-1.11082 4.9
-1.11057 4.6
-1.11033 4.3
-1.11008 4.0
-1.10984 3.7
-1.10959 3.4
-1.10935 3.1
-1.10911 2.7
