t strain*1e23
-0.45513 -0.4
-0.45489 0.1
-0.45464 0.6
-0.4544 1.1
-0.45415 1.6
-0.45391 2.0
-0.45367 2.5
-0.45342 3.0
-0.45318 3.5
-0.45293 3.9
-0.45269 4.4
-0.45245 4.8
-0.4522 5.3
-0.45196 5.7
-0.45171 6.2
-0.45147 6.6
-0.45123 7.0
-0.45098 7.4
-0.45074 7.8
-0.45049 8.2
-0.45025 8.6
-0.45 9.0
-0.44976 9.3
-0.44952 9.7
-0.44927 10.0
-0.44903 10.4
-0.44878 10.7
-0.44854 11.0
-0.4483 11.3
-0.44805 11.5
-0.44781 11.8
-0.44756 12.0
-0.44732 12.3
-0.44707 12.5
-0.44683 12.7
-0.44659 12.9
-0.44634 13.0
-0.4461 13.2
-0.44585 13.3
-0.44561 13.5
-0.44537 13.6
-0.44512 13.6
-0.44488 13.7
-0.44463 13.8
-0.44439 13.8
-0.44415 13.8
-0.4439 13.8
-0.44366 13.8
-0.44341 13.8
-0.44317 13.7
-0.44292 13.7
-0.44268 13.6
-0.44244 13.5
-0.44219 13.3
-0.44195 13.2
-0.4417 13.1
-0.44146 12.9
-0.44122 12.7
-0.44097 12.5
-0.44073 12.3
-0.44048 12.1
-0.44024 11.8
-0.43999 11.6
-0.43975 11.3
-0.43951 11.0
-0.43926 10.7
-0.43902 10.4
-0.43877 10.0
-0.43853 9.7
-0.43829 9.3
-0.43804 9.0
-0.4378 8.6
-0.43755 8.2
-0.43731 7.8
-0.43707 7.4
-0.43682 7.0
-0.43658 6.6
-0.43633 6.1
-0.43609 5.7
-0.43584 5.2
-0.4356 4.8
-0.43536 4.3
-0.43511 3.8
-0.43487 3.3
-0.43462 2.9
-0.43438 2.4
-0.43414 1.9
-0.43389 1.4
-0.43365 0.9
-0.4334 0.4
-0.43316 0.0
-0.43291 -0.6
-0.43267 -1.1
-0.43243 -1.6
-0.43218 -2.0
-0.43194 -2.5
-0.43169 -3.0
-0.43145 -3.5
-0.43121 -4.0
-0.43096 -4.4
