time (s),strain
-8.193195343,-9.129533383461965e-23
-8.192951202375,-9.142776149637212e-23
-8.19270706175,-9.082966623021438e-23
-8.192462921125,-9.088214578914822e-23
-8.1922187805,-9.02240493160359e-23
-8.191974639875,-9.089347379189275e-23
-8.19173049925,-8.971106232729262e-23
-8.191486358625,-8.95559650568965e-23
-8.191242218,-8.910325094448203e-23
-8.190998077375,-8.896922443590939e-23
-8.19075393675,-8.909209762572336e-23
-8.190509796125,-8.8057568657787e-23
-8.1902656555,-8.756539048228084e-23
-8.190021514875,-8.796104054860875e-23
-8.18977737425,-8.702771969843748e-23
-8.189533233625,-8.669913780308453e-23
-8.189289093,-8.649912785952606e-23
-8.189044952375,-8.597721869632746e-23
-8.18880081175,-8.518098864882564e-23
-8.188556671125,-8.491130133760306e-23
-8.1883125305,-8.367641616357863e-23
-8.188068389875,-8.297773133713282e-23
-8.18782424925,-8.260250470153969e-23
-8.187580108625,-8.199075067380801e-23
-8.187335968,-8.16003337012695e-23
-8.187091827375,-8.13825142833545e-23
-8.18684768675,-7.995015433179025e-23
-8.186603546125,-7.95632709603744e-23
-8.1863594055,-7.845986556930542e-23
-8.186115264875,-7.790534844329855e-23
-8.18587112425,-7.757530184455858e-23
-8.185626983625,-7.619416472924045e-23
-8.185382843,-7.563271216031256e-23
-8.185138702375,-7.463628200795624e-23
-8.18489456175,-7.455168311082789e-23
-8.184650421125,-7.317160041634822e-23
-8.1844062805,-7.23591992517881e-23
-8.184162139875,-7.136496558637327e-23
-8.18391799925,-7.019723780039053e-23
-8.183673858625,-6.97578712459843e-23
-8.183429718,-6.864572509519854e-23
-8.183185577375,-6.768342355720468e-23
-8.18294143675,-6.632430777271637e-23
-8.182697296125,-6.620334559562421e-23
-8.1824531555,-6.470072852145499e-23
-8.182209014875,-6.337230401581961e-23
-8.18196487425,-6.235343918474519e-23
-8.181720733625,-6.218351330837914e-23
-8.181476593,-6.105100969211636e-23
-8.181232452375,-5.920509313579863e-23
-8.18098831175,-5.881687950320195e-23
-8.180744171125,-5.775555191166075e-23
-8.1805000305,-5.623016958232758e-23
-8.180255889875,-5.51112184633538e-23
-8.18001174925,-5.429173607700183e-23
-8.179767608625,-5.315191734147331e-23
-8.179523468,-5.140060176779572e-23
-8.179279327375,-5.0296394417649364e-23
-8.17903518675,-4.920477720534209e-23
-8.178791046125,-4.769361709378931e-23
-8.1785469055,-4.689613144958019e-23
-8.178302764875,-4.5509559971904526e-23
-8.17805862425,-4.4930606851190984e-23
-8.177814483625,-4.324976513102789e-23
-8.177570343,-4.173517157174731e-23
-8.177326202375,-4.076573209815265e-23
-8.17708206175,-3.90704558458996e-23
-8.176837921125,-3.8102857447135815e-23
-8.1765937805,-3.707042437803947e-23
-8.176349639875,-3.512029734706926e-23
-8.17610549925,-3.4110418758208303e-23
-8.175861358625,-3.2883093320155986e-23
-8.175617218,-3.1995841081700764e-23
-8.175373077375,-3.0577649416876755e-23
-8.17512893675,-2.906075305101608e-23
-8.174884796125,-2.75690446405713e-23
-8.1746406555,-2.651769252483769e-23
-8.174396514875,-2.4946432826433135e-23
-8.17415237425,-2.3884558157588e-23
-8.173908233625,-2.1819403674832788e-23
-8.173664093,-2.1148649717281277e-23
-8.173419952375,-1.9644004526523877e-23
-8.17317581175,-1.8239387191066112e-23
-8.172931671125,-1.6501555743559514e-23
-8.1726875305,-1.5454335193696906e-23
