time (s),strain
-10.099863052624997,1.1538780385555247e-22
-10.099618911999997,3.694644856340066e-23
-10.099374771374997,4.0482004925138967e-23
-10.099130630749997,2.1764168325182347e-23
-10.098886490124997,9.080266963523586e-23
-10.098642349499997,-2.069664673062737e-23
-10.098398208874997,1.2279489157038873e-22
-10.098154068249997,3.4587228857867465e-23
-10.097909927624997,7.313495401814164e-23
-10.097665786999997,5.335546888148883e-23
-10.097421646374997,1.1414355389130996e-22
-10.097177505749997,-1.0147362426055024e-23
-10.096933365124997,5.149085979461311e-23
-10.096689224499997,4.9472989517506473e-23
-10.096445083874997,1.0325830885530242e-22
-10.096200943249997,2.4369355540998887e-23
-10.095956802624997,5.72036862474473e-23
-10.095712661999997,3.226717455738817e-23
-10.095468521374997,6.476149938831418e-23
-10.095224380749997,8.380017799880713e-23
-10.094980240124997,2.4168028400773248e-23
-10.094736099499997,1.033999145437748e-22
-10.094491958874997,9.461176914200747e-23
-10.094247818249997,8.027047943033596e-23
-10.094003677624997,9.408472412493156e-23
-10.093759536999997,3.775256420457196e-23
-10.093515396374997,5.723400043914811e-23
-10.093271255749997,2.8108919773139154e-23
-10.093027115124997,5.129857671081236e-23
-10.092782974499997,7.905944103016018e-23
-10.092538833874997,3.535582971105317e-23
-10.092294693249997,4.524636286806011e-23
-10.092050552624997,3.4405616532104236e-23
-10.091806411999997,2.8208918876204433e-23
-10.091562271374997,3.3713793237148154e-23
-10.091318130749997,5.631690958704702e-23
-10.091073990124997,1.6545215569939915e-23
-10.090829849499997,6.35845121954389e-23
-10.090585708874997,1.1319369677884077e-22
-10.090341568249997,7.992629918079365e-23
-10.090097427624997,4.605550780832438e-23
-10.089853286999997,2.0569462234848893e-23
-10.089609146374997,2.461749004336349e-23
-10.089365005749997,1.099207141751298e-22
-10.089120865124997,5.0898449208496806e-23
-10.088876724499997,2.556908474176068e-23
-10.088632583874997,5.379839160794412e-23
-10.088388443249997,1.2023268748094572e-22
-10.088144302624997,4.912604274758832e-23
-10.087900161999997,6.557159927034552e-23
-10.087656021374997,5.320795456276322e-23
-10.087411880749997,2.8960057964560364e-23
-10.087167740124997,-1.872920448018736e-25
-10.086923599499997,2.6623517628900354e-23
-10.086679458874997,3.033267482405126e-23
-10.086435318249997,5.717852847829801e-23
-10.086191177624997,6.479818252976422e-23
-10.085947036999997,6.673055884963964e-23
-10.085702896374997,4.2562595551665915e-23
-10.085458755749997,6.23942306738231e-23
-10.085214615124997,3.042600600484017e-24
-10.084970474499997,7.260649095530439e-23
