time (s),strain
-3.313598633,-7.391881461813712e-23
-3.313354492375,-7.372155690561687e-23
-3.31311035175,-7.350693288965907e-23
-3.312866211125,-7.327499013650558e-23
-3.3126220705,-7.302578121407621e-23
-3.312377929875,-7.275936306543777e-23
-3.31213378925,-7.24757965074592e-23
-3.311889648625,-7.217514648975618e-23
-3.311645508,-7.18574820578033e-23
-3.311401367375,-7.15228758658916e-23
-3.31115722675,-7.117140501954032e-23
-3.310913086125,-7.080315027331819e-23
-3.3106689455,-7.041819665405601e-23
-3.310424804875,-7.001663272181417e-23
-3.31018066425,-6.959855128762728e-23
-3.309936523625,-6.916404911928326e-23
-3.309692383,-6.871322651510628e-23
-3.309448242375,-6.824618791655267e-23
-3.30920410175,-6.776304171570454e-23
-3.308959961125,-6.726389965372374e-23
-3.3087158205,-6.674887767878185e-23
-3.308471679875,-6.62180952617196e-23
-3.30822753925,-6.56716758618446e-23
-3.307983398625,-6.510974629161326e-23
-3.307739258,-6.45324374486635e-23
-3.307495117375,-6.393988343500201e-23
-3.30725097675,-6.333222239626084e-23
-3.307006836125,-6.270959583360757e-23
-3.3067626955,-6.207214862368044e-23
-3.306518554875,-6.142002960041895e-23
-3.30627441425,-6.075339089680192e-23
-3.306030273625,-6.007238772456037e-23
-3.305786133,-5.937717931810237e-23
-3.305541992375,-5.86679278935444e-23
-3.30529785175,-5.794479921646339e-23
-3.305053711125,-5.72079621518529e-23
-3.3048095705,-5.645758895121004e-23
-3.304565429875,-5.569385508942217e-23
-3.30432128925,-5.491693913829728e-23
-3.304077148625,-5.412702276549613e-23
-3.303833008,-5.332429115409613e-23
-3.303588867375,-5.250893197505733e-23
-3.30334472675,-5.1681136186618033e-23
-3.303100586125,-5.084109774743993e-23
-3.3028564455,-4.9989013377752184e-23
-3.302612304875,-4.9125082771808333e-23
-3.30236816425,-4.824950857084526e-23
-3.302124023625,-4.736249595074315e-23
-3.301879883,-4.6464252924370675e-23
-3.301635742375,-4.555499032680007e-23
-3.30139160175,-4.4634921492226664e-23
-3.301147461125,-4.370426219932881e-23
-3.3009033205,-4.276323110451345e-23
-3.300659179875,-4.181204917322897e-23
-3.30041503925,-4.085093957423651e-23
-3.300170898625,-3.9880128325232404e-23
-3.299926758,-3.8899843409830446e-23
-3.299682617375,-3.7910315165762996e-23
-3.29943847675,-3.691177629744692e-23
-3.299194336125,-3.590446148824276e-23
-3.2989501955,-3.4888607632036434e-23
-3.298706054875,-3.386445361662254e-23
-3.29846191425,-3.28322403874819e-23
-3.298217773625,-3.1792210881888144e-23
-3.297973633,-3.074460980904573e-23
-3.297729492375,-2.96896837176324e-23
-3.29748535175,-2.862768103816866e-23
-3.297241211125,-2.755885180229338e-23
-3.2969970705,-2.648344773361697e-23
-3.296752929875,-2.5401722125516087e-23
-3.29650878925,-2.431392991346022e-23
-3.296264648625,-2.3220327324109068e-23
-3.296020508,-2.2121172146989203e-23
-3.295776367375,-2.1016723523472794e-23
