t,hp,hc
-0.371421814,-5.771530078113916e-22,-1.5240307066024486e-22
-0.371177673375,-5.709642478876831e-22,-1.7446611286511546e-22
-0.37093353275,-5.639307518798347e-22,-1.9628305689574122e-22
-0.370689392125,-5.560618116340586e-22,-2.1782229434323794e-22
-0.3704452515,-5.473682264697653e-22,-2.39051662960887e-22
-0.370201110875,-5.378620460086853e-22,-2.5993941707603724e-22
-0.36995697025,-5.275565499807355e-22,-2.804542748014164e-22
-0.369712829625,-5.164662260810481e-22,-3.005654835063597e-22
-0.369468689,-5.0460671448797545e-22,-3.202429072365466e-22
-0.369224548375,-4.919948100792896e-22,-3.394570261446144e-22
-0.36898040775,-4.786484427321505e-22,-3.581789628609202e-22
-0.368736267125,-4.645866553371809e-22,-3.7638052775485523e-22
-0.3684921265,-4.49829577965188e-22,-3.940342625118843e-22
-0.368247985875,-4.343983985565268e-22,-4.1111348087250704e-22
-0.36800384525,-4.1831533394565596e-22,-4.27592309830001e-22
-0.367759704625,-4.016036000716354e-22,-4.434457308134097e-22
-0.367515564,-3.842873778356604e-22,-4.586496168298184e-22
-0.367271423375,-3.6639177995507034e-22,-4.731807708607849e-22
-0.36702728275,-3.479428149552539e-22,-4.870169615258886e-22
-0.366783142125,-3.2896735079293065e-22,-5.0013695871295875e-22
-0.3665390015,-3.094930756044586e-22,-5.125205656945997e-22
-0.366294860875,-2.895484590476002e-22,-5.241486523308133e-22
-0.36605072025,-2.6916271070864623e-22,-5.350031846289152e-22
-0.365806579625,-2.4836573863911814e-22,-5.450672545570145e-22
-0.365562439,-2.2718810580646768e-22,-5.543251068905788e-22
-0.365318298375,-2.0566098547957323e-22,-5.627621638203718e-22
-0.36507415775,-1.8381611737225152e-22,-5.703650503842628e-22
-0.364830017125,-1.6168576279031332e-22,-5.77121615937921e-22
-0.3645858765,-1.3930265542740307e-22,-5.830209549250005e-22
-0.364341735875,-1.1669995308144238e-22,-5.880534261330958e-22
-0.36409759525,-9.391118880090859e-23,-5.92210668808934e-22
-0.363853454625,-7.097022164519841e-23,-5.954856183125317e-22
-0.363609314,-4.7911186472713886e-23,-5.978725185703584e-22
-0.363365173375,-2.476844358167487e-23,-5.993669339427167e-22
-0.36312103275,-1.5765275330747198e-24,-5.999657575334805e-22
-0.362876892125,2.1629904161083111e-23,-5.996672180593268e-22
-0.3626327515,4.4816122753643475e-23,-5.98470886549458e-22
-0.362388610875,6.794738021766819e-23,-5.963776782757257e-22
-0.36214447025,9.098896108428051e-23,-5.933898527994222e-22
-0.361900329625,1.139062350718295e-22,-5.895110167376518e-22
-0.361656189,1.3666470870066589e-22,-5.84746116971436e-22
-0.361412048375,1.5923007760245949e-22,-5.791014377526226e-22
-0.36116790775,1.81568278326702e-22,-5.725845933291292e-22
-0.360923767125,2.0364554022982665e-22,-5.652045196343002e-22
-0.3606796265,2.254284362997175e-22,-5.569714619128873e-22
-0.360435485875,2.468839347868033e-22,-5.478969635988743e-22
-0.36019134525,2.679794490054404e-22,-5.379938497641057e-22
-0.359947204625,2.88682887305023e-22,-5.272762105501869e-22
-0.359703064,3.0896270316135877e-22,-5.157593838320046e-22
-0.359458923375,3.287879422431291e-22,-5.034599317418153e-22
-0.35921478275,3.4812829192437907e-22,-4.90395620398426e-22
-0.358970642125,3.6695412852591586e-22,-4.76585394217368e-22
-0.3587265015,3.8523656131439124e-22,-4.620493482883921e-22
-0.358482360875,4.0294747870388255e-22,-4.46808702280965e-22
-0.35823822025,4.2005959197667247e-22,-4.308857701135245e-22
-0.357994079625,4.365464772277428e-22,-4.143039273823336e-22
-0.357749939,4.523826172407064e-22,-3.9708757852365065e-22
-0.357505798375,4.675434422654996e-22,-3.792621222570353e-22
-0.35726165775,4.820053689225671e-22,-3.6085391492507515e-22
-0.357017517125,4.957458365335138e-22,-3.4189023151606075e-22
-0.3567733765,5.087433446386885e-22,-3.223992272286616e-22
-0.356529235875,5.209774872007332e-22,-3.0240989618110157e-22
-0.35628509525,5.324289852872211e-22,-2.819520287725315e-22
-0.356040954625,5.430797181078311e-22,-2.6105616802552296e-22
-0.355796814,5.529127537343773e-22,-2.3975356513437e-22
-0.355552673375,5.619123758887686e-22,-2.180761328961014e-22
-0.35530853275,5.700641108692697e-22,-1.960563987766293e-22
-0.355064392125,5.773547517553279e-22,-1.7372745670385219e-22
-0.3548202515,5.837723798617054e-22,-1.5112291750156498e-22
-0.354576110875,5.893063876342075e-22,-1.2827685944236655e-22
-0.35433197025,5.939474944030076e-22,-1.0522377657236881e-22
-0.354087829625,5.976877647899836e-22,-8.199852748196432e-23
-0.353843689,6.005206234436197e-22,-5.863628287720221e-23
-0.353599548375,6.024408661256826e-22,-3.5172472413695464e-23
-0.35335540775,6.034446716295399e-22,-1.1642731457485012e-23
-0.353111267125,6.0352961041609835e-22,1.1917152980361202e-23
