t,hp,hc
-3.313598633,-7.391881461813712e-23,-1.2371999226851798e-23
-3.313354492375,-7.372155690561687e-23,-1.3504857498921714e-23
-3.31311035175,-7.350693288965907e-23,-1.4634602089197364e-23
-3.312866211125,-7.327499013650558e-23,-1.5760971556362795e-23
-3.3126220705,-7.302578121407621e-23,-1.6883699713051048e-23
-3.312377929875,-7.275936306543777e-23,-1.8002521241844518e-23
-3.31213378925,-7.24757965074592e-23,-1.911717166499047e-23
-3.311889648625,-7.217514648975618e-23,-2.0227387558228142e-23
-3.311645508,-7.18574820578033e-23,-2.1332906940787015e-23
-3.311401367375,-7.15228758658916e-23,-2.243346887126393e-23
-3.31115722675,-7.117140501954032e-23,-2.3528813672749027e-23
-3.310913086125,-7.080315027331819e-23,-2.4618682746428768e-23
-3.3106689455,-7.041819665405601e-23,-2.5702818850703364e-23
-3.310424804875,-7.001663272181417e-23,-2.6780965898844845e-23
-3.31018066425,-6.959855128762728e-23,-2.785286928886539e-23
-3.309936523625,-6.916404911928326e-23,-2.8918275872442504e-23
-3.309692383,-6.871322651510628e-23,-2.9976933851496797e-23
-3.309448242375,-6.824618791655267e-23,-3.1028593084238356e-23
-3.30920410175,-6.776304171570454e-23,-3.2073005098098665e-23
-3.308959961125,-6.726389965372374e-23,-3.310992286955596e-23
-3.3087158205,-6.674887767878185e-23,-3.4139101293550376e-23
-3.308471679875,-6.62180952617196e-23,-3.5160296938525513e-23
-3.30822753925,-6.56716758618446e-23,-3.61732683405902e-23
-3.307983398625,-6.510974629161326e-23,-3.7177775745196935e-23
-3.307739258,-6.45324374486635e-23,-3.817358158089674e-23
-3.307495117375,-6.393988343500201e-23,-3.916045003480793e-23
-3.30725097675,-6.333222239626084e-23,-4.01381476144455e-23
-3.307006836125,-6.270959583360757e-23,-4.110644280210329e-23
-3.3067626955,-6.207214862368044e-23,-4.2065106133074635e-23
-3.306518554875,-6.142002960041895e-23,-4.301391065695747e-23
-3.30627441425,-6.075339089680192e-23,-4.3952631611925647e-23
-3.306030273625,-6.007238772456037e-23,-4.488104628828172e-23
-3.305786133,-5.937717931810237e-23,-4.579893482142412e-23
-3.305541992375,-5.86679278935444e-23,-4.670607949865093e-23
-3.30529785175,-5.794479921646339e-23,-4.7602265272727424e-23
-3.305053711125,-5.72079621518529e-23,-4.8487279479136163e-23
-3.3048095705,-5.645758895121004e-23,-4.936091215743098e-23
-3.304565429875,-5.569385508942217e-23,-5.0222955998589995e-23
-3.30432128925,-5.491693913829728e-23,-5.1073206325328965e-23
-3.304077148625,-5.412702276549613e-23,-5.191146114599656e-23
-3.303833008,-5.332429115409613e-23,-5.273752168371725e-23
-3.303588867375,-5.250893197505733e-23,-5.355119145875719e-23
-3.30334472675,-5.1681136186618033e-23,-5.435227714121773e-23
-3.303100586125,-5.084109774743993e-23,-5.514058838298783e-23
-3.3028564455,-4.9989013377752184e-23,-5.591593765270654e-23
-3.302612304875,-4.9125082771808333e-23,-5.667814053785982e-23
-3.30236816425,-4.824950857084526e-23,-5.742701585349378e-23
-3.302124023625,-4.736249595074315e-23,-5.816238522989216e-23
-3.301879883,-4.6464252924370675e-23,-5.888407357977445e-23
-3.301635742375,-4.555499032680007e-23,-5.95919091888854e-23
-3.30139160175,-4.4634921492226664e-23,-6.02857234159219e-23
-3.301147461125,-4.370426219932881e-23,-6.096535070488903e-23
-3.3009033205,-4.276323110451345e-23,-6.163062928580063e-23
-3.300659179875,-4.181204917322897e-23,-6.228140051393506e-23
-3.30041503925,-4.085093957423651e-23,-6.291750880458142e-23
-3.300170898625,-3.9880128325232404e-23,-6.353880270058903e-23
-3.299926758,-3.8899843409830446e-23,-6.414513367145367e-23
-3.299682617375,-3.7910315165762996e-23,-6.473635681049629e-23
-3.29943847675,-3.691177629744692e-23,-6.53123310060596e-23
-3.299194336125,-3.590446148824276e-23,-6.587291839615061e-23
-3.2989501955,-3.4888607632036434e-23,-6.641798491437785e-23
-3.298706054875,-3.386445361662254e-23,-6.694740000446808e-23
-3.29846191425,-3.28322403874819e-23,-6.746103690439096e-23
-3.298217773625,-3.1792210881888144e-23,-6.795877266116702e-23
-3.297973633,-3.074460980904573e-23,-6.84404878287757e-23
-3.297729492375,-2.96896837176324e-23,-6.890606672696176e-23
-3.29748535175,-2.862768103816866e-23,-6.935539772895524e-23
-3.297241211125,-2.755885180229338e-23,-6.978837276727933e-23
-3.2969970705,-2.648344773361697e-23,-7.020488771240147e-23
-3.296752929875,-2.5401722125516087e-23,-7.060484223097397e-23
-3.29650878925,-2.431392991346022e-23,-7.09881401822577e-23
-3.296264648625,-2.3220327324109068e-23,-7.135468883052226e-23
-3.296020508,-2.2121172146989203e-23,-7.170439979110366e-23
-3.295776367375,-2.1016723523472794e-23,-7.203718866752025e-23
-3.29553222675,-1.9907241790976598e-23,-7.23529747188253e-23
-3.295288086125,-1.8792988586796884e-23,-7.265168141401076e-23
-3.2950439455,-1.7674226750318142e-23,-7.293323641025785e-23
-3.294799804875,-1.6551220131312352e-23,-7.31975709837566e-23
-3.29455566425,-1.5424233725631477e-23,-7.344462090952188e-23
-3.294311523625,-1.4293533448637225e-23,-7.367432571493198e-23
-3.294067383,-1.3159386168103334e-23,-7.388662918791415e-23
-3.293823242375,-1.2022059617180987e-23,-7.408147924318781e-23
-3.29357910175,-1.0881822273006959e-23,-7.425882764759902e-23
-3.293334961125,-9.738943418877909e-24,-7.441863067468593e-23
-3.2930908205,-8.593692950230225e-24,-7.456084841893196e-23
-3.292846679875,-7.446341403067396e-24,-7.468544537225321e-23
-3.29260253925,-6.297159849376664e-24,-7.479239019681938e-23
-3.292358398625,-5.146419810133457e-24,-7.488165536711988e-23
-3.292114258,-3.994393252032833e-24,-7.495321789798933e-23
-3.291870117375,-2.841352474161283e-24,-7.500705874101904e-23
-3.29162597675,-1.6875700737909937e-24,-7.504316343518758e-23
-3.291381836125,-5.333188557069952e-25,-7.506152112706191e-23
-3.2911376955,6.211282123203763e-25,-7.50621256645539e-23
-3.290893554875,1.7754980766435276e-24,-7.504497496592716e-23
-3.29064941425,2.9295176444023752e-24,-7.501007077778815e-23
-3.290405273625,4.08291387428242e-24,-7.495741962239371e-23
